Name,simulate8Clients/alpha50_1_Outcome,simulate8Clients/alpha50_2_Outcome,simulate8Clients/alpha50_3_Outcome,simulate8Clients/OR_8Clients_Outcome,wholeBenchmarkRun/OR_Outcome,simulate8Clients/alpha50_1_TotalSplits,simulate8Clients/alpha50_2_TotalSplits,simulate8Clients/alpha50_3_TotalSplits,simulate8Clients/OR_8Clients_TotalSplits,wholeBenchmarkRun/OR_TotalSplits,simulate8Clients/alpha50_1_Runtime,simulate8Clients/alpha50_2_Runtime,simulate8Clients/alpha50_3_Runtime,simulate8Clients/OR_8Clients_Runtime,wholeBenchmarkRun/OR_Runtime,Who_Performed_Better,How_Much_Percentage,min(ORx8_alpha50x8)_RunTime,Run number
mouser_removelockreleasepower_1.bpl.bpl.txt,NOK,NOK,NOK,TIMEDOUT,NOK,36,59,53,229,818,10.271034,12.394122,10.205375,3599.177524,1123.414025,simulate8Clients/alpha50_3,10908.062173119557,10.205375,Run1
hw_irqldispatch_0.bpl.bpl.txt,OK,OK,OK,OK,OK,166,218,172,131,343,513.640451,1239.778066,897.468315,153.335924,151.060061,wholeBenchmarkRun/OR,1.5065947841766167,153.335924,Run1
scsiscan_forwardedatbadirqlallocate_0.bpl.bpl.txt,NOK,NOK,NOK,NOK,NOK,24,19,28,23,153,6.417274,6.704055,6.506479000000001,7.8458570000000005,9.786469,simulate8Clients/alpha50_1,52.50196578796542,6.417274,Run1
ppa3x_nsremovelockmnsurpriseremove_0.bpl.bpl.txt,OK,OK,OK,OK,OK,87,117,115,134,371,134.320891,162.384645,152.853921,115.751124,71.305832,wholeBenchmarkRun/OR,62.330514564362716,115.751124,Run1
sbp2port_irqliopassive1_0.bpl.bpl.txt,NOK,NOK,NOK,NOK,NOK,73,38,75,34,47,167.86613200000002,35.557763,86.47076,47.943825000000004,66.69521999999999,simulate8Clients/alpha50_2,87.56866116690183,35.557763,Run1
modem_irqlkereleasespinlock_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,TIMEDOUT,TIMEDOUT,530,586,463,908,0,3598.982662,3598.994544,3598.976001,3598.998463,3600,NONE,NA,3600,Run1
mouser_removelockrelease2_0.bpl.bpl.txt,NOK,NOK,NOK,NOK,NOK,69,59,71,80,235,26.29457,20.05922,24.562334,32.243278,43.293319,simulate8Clients/alpha50_2,115.82752968460387,20.05922,Run1
61883_removelockreleaseinternaldevicecontrol_0.bpl.bpl.txt,NOK,NOK,NOK,NOK,NOK,23,18,17,19,125,11.373581,7.782386999999999,10.032628,5.818675,13.140975000000001,simulate8Clients/OR_8Clients,125.8413642281104,5.818675,Run1
usbccgp_completerequeststatuscheck_0.bpl.bpl.txt,NOK,NOK,NOK,NOK,NOK,35,34,24,24,101,27.622284,27.332594,14.174138000000001,8.9383,10.772347,simulate8Clients/OR_8Clients,20.51896893145229,8.9383,Run1
driver_irqlexallocatepool_3.bpl.bpl.txt,OK,OK,OK,OK,OK,26,29,15,12,13,15.16066,16.886857,8.687394000000001,10.433937,14.267399,simulate8Clients/alpha50_3,64.23105709261026,8.687394000000001,Run1
serial_markingqueuedirps_2.bpl.bpl.txt,OK,OK,OK,OK,OK,234,305,216,126,902,1161.829208,2847.131649,867.1584760000001,351.294776,690.24815,simulate8Clients/OR_8Clients,96.48688143315857,351.294776,Run1
avc_forwardedatbadirql_1.bpl.bpl.txt,TIMEDOUT,NOK,NOK,TIMEDOUT,NOK,636,84,184,705,290,3598.992513,98.929771,395.358292,3599.00481,74.668633,wholeBenchmarkRun/OR,32.49173987154687,98.929771,Run1
serial_irqlexallocatepool_2.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,TIMEDOUT,TIMEDOUT,165,164,203,120,0,3598.744093,3598.741224,3598.748181,3598.728258,3600,NONE,NA,3600,Run1
sbp2port_irqliopassive4_1.bpl.bpl.txt,OK,OK,OK,OK,OK,126,121,106,39,274,107.063512,151.835691,90.988626,29.444082,76.951324,simulate8Clients/OR_8Clients,161.3473362830602,29.444082,Run1
driver_irqlobpassive_0.bpl.bpl.txt,OK,OK,OK,OK,OK,2,1,2,1,1,1.472009,1.00413,1.4081489999999999,1.051314,1.4392219999999996,simulate8Clients/alpha50_2,43.33024608367438,1.00413,Run1
kbdclass_forwardedatbadirqlallocate_1.bpl.bpl.txt,NOK,NOK,NOK,NOK,NOK,22,22,25,35,144,11.272368,13.251293,10.090726,24.993997,32.401332,simulate8Clients/alpha50_3,221.1001071677102,10.090726,Run1
winnt_forwardedatbadirql_0.bpl.bpl.txt,OK,OK,OK,OK,OK,249,235,257,1607,5227,3190.706291,2092.6024869999997,1962.963941,2342.257355,2157.379754,simulate8Clients/alpha50_3,9.90419685962026,1962.963941,Run1
avc_markirppending_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,TIMEDOUT,TIMEDOUT,194,170,257,295,0,3598.682321,3598.709776,3598.435,3598.696143,3600,NONE,NA,3600,Run1
usbccgp_ioreuseirp_0.bpl.bpl.txt,NOK,NOK,NOK,NOK,NOK,37,26,31,27,121,35.992954000000005,16.234547000000003,24.589125,13.804886999999999,15.874573000000002,simulate8Clients/OR_8Clients,14.992415367108784,13.804886999999999,Run1
61883_ioallocatefree_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,TIMEDOUT,TIMEDOUT,355,394,378,928,0,3598.503801,3598.532384,3598.559094,3598.48081,3600,NONE,NA,3600,Run1
sbp2port_irqlexallocatepool_0.bpl.bpl.txt,OK,OK,OK,OK,OK,139,100,47,52,279,629.0562940000001,236.90017400000002,225.892653,81.208087,85.267807,simulate8Clients/OR_8Clients,4.999157288362178,81.208087,Run1
61883_ioreleaseremovelockandwaitoutsideremovedevice_0.bpl.bpl.txt,NOK,NOK,NOK,NOK,NOK,29,28,25,25,106,10.658935999999999,9.147186999999999,8.228002,9.700141,19.204152999999998,simulate8Clients/alpha50_3,133.3999554205261,8.228002,Run1
avc_pendedcompletedrequest_1.bpl.bpl.txt,OK,OK,OK,OK,OK,118,85,144,80,301,152.402214,56.094573,274.019986,72.29422500000001,147.71665499999997,simulate8Clients/alpha50_2,163.33501994925604,56.094573,Run1
