Name,OR_OutCome,splitOnDemand_Outcome,OR_TotalSplits,splitOnDemand_TotalSplits,OR_RunTime,splitOnDemand_RunTime,Who Performed Better,By How Much Percentage,splitOnDemand TimedOut but not OR,OR TimedOut but not splitOnDemand
sbp2port_lowerdriverreturn_1.bpl.bpl.txt,NOK,NOK,39,30,12.880500000000001,10.166250999999999,splitOnDemand,26.69862272729645,0,0
serial_irqlkedispatchlte_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1107,86,3597.972557,3597.950368,TIMED-OUT,TIMED-OUT,0,0
61883_ioallocateirpsignaleventincompletion_1.bpl.bpl.txt,NOK,NOK,21,12,14.660226000000002,39.082662,OR,166.5897647144048,0,0
kerneldriver_irqlkedispatchlte_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1741,46,3598.527238,3598.07724,TIMED-OUT,TIMED-OUT,0,0
modem_completerequest_0.bpl.bpl.txt,NOK,TIMEDOUT,95,17,101.24828600000001,3598.093599,OR,3453.7328493639875,1,0
driver_irqlkedispatchlte_1.bpl.bpl.txt,OK,TIMEDOUT,437,29,983.716691,3598.577539,OR,265.81442318945057,1,0
61883_irqlkesetevent_0.bpl.bpl.txt,OK,OK,1,4,1.1600829999999998,3.3726130000000003,OR,190.72169836123803,0,0
mouser_completerequest_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1416,93,3598.459979,3598.305772,TIMED-OUT,TIMED-OUT,0,0
modem_irqlkereleasespinlock_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,2485,14,3598.125324,3598.254317,TIMED-OUT,TIMED-OUT,0,0
tffsport_checkdeviceobjectflags_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,345,179,3595.538671,3595.085523,TIMED-OUT,TIMED-OUT,0,0
61883_irqlreturn_0.bpl.bpl.txt,OK,OK,51,73,52.894806,466.800842,OR,782.5079006812124,0,0
avc_irqlkereleasespinlock_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,2322,22,3597.96407,3597.87752,TIMED-OUT,TIMED-OUT,0,0
sbp2port_irqliopassive4_1.bpl.bpl.txt,OK,OK,72,132,97.608802,330.617619,OR,238.71701345130737,0,0
sbp2port_irqlioapclte_0.bpl.bpl.txt,NOK,NOK,34,34,25.849559,180.87629800000002,OR,599.7268231926124,0,0
kbdclass_multremovelock_1.bpl.bpl.txt,NOK,NOK,41,15,44.477601,27.744759000000002,splitOnDemand,60.30992015464973,0,0
kbdclass_completerequest_1.bpl.bpl.txt,OK,TIMEDOUT,227,55,371.780915,3598.447608,OR,867.8946559158369,1,0
mouser_lowerdriverreturn_1.bpl.bpl.txt,NOK,NOK,71,86,40.314409,93.642411,OR,132.28025245266525,0,0
hw_irqlkereleasespinlock_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,2011,50,3597.249444,3597.76045,TIMED-OUT,TIMED-OUT,0,0
sbp2port_irqlkeraiselower2_0.bpl.bpl.txt,NOK,NOK,36,19,29.232714999999995,925.3315299999999,OR,3065.397158628612,0,0
sbp2port_completerequest_1.bpl.bpl.txt,NOK,NOK,138,11,165.512755,175.931015,OR,6.294536031377161,0,0
avc_irqlkedispatchlte_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,2131,23,3597.993471,3597.893074,TIMED-OUT,TIMED-OUT,0,0
serial_pagedcode_2.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,171,49,3597.921214,3597.912275,TIMED-OUT,TIMED-OUT,0,0
avc_forwardedatbadirql_0.bpl.bpl.txt,TIMEDOUT,NOK,2346,23,3598.464631,264.79416299999997,splitOnDemand,1258.9667499581553,0,1
kbdclass_nsremovelockmnsurpriseremove_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,2250,88,3598.462486,3598.149104,TIMED-OUT,TIMED-OUT,0,0
sbp2port_irqlkeraiselower2_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1754,43,3597.856591,3597.832812,TIMED-OUT,TIMED-OUT,0,0
sbp2port_irqlkeraiselower_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1241,20,3597.970092,3595.8533,TIMED-OUT,TIMED-OUT,0,0
mouser_forwardedatbadirqlallocate_0.bpl.bpl.txt,NOK,NOK,124,63,167.88046699999998,893.2654299999999,OR,432.0841941665554,0,0
mouclass_powerdownallocate_1.bpl.bpl.txt,OK,TIMEDOUT,299,133,593.035808,3598.507242,OR,506.79425988388215,1,0
sbp2port_removelock_0.bpl.bpl.txt,NOK,NOK,33,28,26.802995,34.255832,OR,27.80598586090845,0,0
sys_zwregistrycreate_0.bpl.bpl.txt,OK,TIMEDOUT,29,112,301.75553299999996,3598.487807,OR,1092.5175890643902,1,0
