Name,UW_OutCome,splitOnDemand_Outcome,UW_TotalSplits,splitOnDemand_TotalSplits,UW_RunTime,splitOnDemand_RunTime,Who Performed Better,By How Much Percentage,splitOnDemand TimedOut but not UW,UW TimedOut but not splitOnDemand
61883_irqlexallocatepool_0.bpl.bpl.txt,TIMEDOUT,OK,2326,109,3597.836686,910.848384,splitOnDemand,TIMED-OUT,0,1
avc_forwardedatbadirql_0.bpl.bpl.txt,TIMEDOUT,NOK,1106,23,3598.121957,264.79416299999997,splitOnDemand,TIMED-OUT,0,1
mouser_removelockforward2_1.bpl.bpl.txt,NOK,NOK,29,29,15.880839,88.71124,UW,458.6054993693973,0,0
sbp2port_irqlexallocatepool_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1877,125,3597.886834,3597.8284,TIMED-OUT,TIMED-OUT,0,0
daytona_completerequeststatuscheck_0.bpl.bpl.txt,TIMEDOUT,OK,2221,113,3598.200835,657.506205,splitOnDemand,TIMED-OUT,0,1
mouser_completerequest_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,330,93,3598.410867,3598.305772,TIMED-OUT,TIMED-OUT,0,0
usbccgp_irqlkereleasespinlock_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1351,11,3597.42149,3597.083522,TIMED-OUT,TIMED-OUT,0,0
mouser_lowerdriverreturn_1.bpl.bpl.txt,NOK,NOK,87,86,71.04057,93.642411,UW,31.815399285225322,0,0
sbp2port_irqlreturn_1.bpl.bpl.txt,TIMEDOUT,OK,1980,286,3597.805322,3229.67054,splitOnDemand,TIMED-OUT,0,1
modem_irqlkesetevent_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,860,50,3597.904578,3597.39426,TIMED-OUT,TIMED-OUT,0,0
daytona_removelockrelease2_1.bpl.bpl.txt,NOK,NOK,94,58,96.688302,86.616515,splitOnDemand,11.62802151529646,0,0
driver_irqlpspassive_0.bpl.bpl.txt,OK,OK,22,22,13.455716,14.672735999999999,UW,9.044632035931778,0,0
61883_irqlkedispatchlte_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,543,15,3597.501008,3597.641277,TIMED-OUT,TIMED-OUT,0,0
mouser_forwardedatbadirqlallocate_1.bpl.bpl.txt,NOK,NOK,189,74,1984.77971,1027.815171,splitOnDemand,93.10667579161469,0,0
kbdclass_multremovelock_0.bpl.bpl.txt,NOK,NOK,373,29,591.38916,98.269477,splitOnDemand,501.80350812287315,0,0
hw_irqlkereleasespinlock_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1999,50,3597.576806,3597.76045,TIMED-OUT,TIMED-OUT,0,0
61883_markirppending_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,800,18,3597.868433,3597.839952,TIMED-OUT,TIMED-OUT,0,0
parport_pagedcode_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,911,40,3597.176314,3596.917868,TIMED-OUT,TIMED-OUT,0,0
crcfilter_irqlkereleasespinlock_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1446,20,3598.346404,3598.645386,TIMED-OUT,TIMED-OUT,0,0
sbp2port_irqlkedispatchlte_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,980,10,3596.817391,3597.094596,TIMED-OUT,TIMED-OUT,0,0
winnt_pendedcompletedrequest3_0.bpl.bpl.txt,NOK,NOK,22,28,11.361056999999999,14.711138000000002,UW,29.48740596935658,0,0
sbp2port_irqlkedispatchlte_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,931,19,3597.840549,3597.853811,TIMED-OUT,TIMED-OUT,0,0
parzip_removelock_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,866,97,3598.242479,3598.610639,TIMED-OUT,TIMED-OUT,0,0
sys_irqlreturn_6.bpl.bpl.txt,NOK,NOK,55,52,39.890554,42.869334,UW,7.467381876922542,0,0
serial_irqlkedispatchlte_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1136,66,3597.999196,3597.967721,TIMED-OUT,TIMED-OUT,0,0
avc_irqlkereleasespinlock_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1038,27,3597.922063,3597.579755,TIMED-OUT,TIMED-OUT,0,0
sbp2port_irqlkereleasespinlock_0.bpl.bpl.txt,NOK,NOK,99,10,169.487181,732.8671840000001,UW,332.40272194980935,0,0
serial_irqlzwpassive_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1386,66,3597.807554,3597.388623,TIMED-OUT,TIMED-OUT,0,0
parzip_nsremovelockmnremove_0.bpl.bpl.txt,OK,OK,546,82,1271.184675,3310.768491,UW,160.44748305355395,0,0
driver_irqlexallocatepool_3.bpl.bpl.txt,TIMEDOUT,OK,802,55,3595.412985,254.26162300000001,splitOnDemand,TIMED-OUT,0,1
serial_pendedcompletedrequest3_2.bpl.bpl.txt,OK,OK,1141,155,2842.7826489999998,2402.176066,splitOnDemand,18.34197706139329,0,0
mouser_ioallocateirpsignaleventincompletiontimeout_1.bpl.bpl.txt,TIMEDOUT,OK,2380,129,3598.632144,1718.818446,splitOnDemand,TIMED-OUT,0,1
kbdclass_removelockforward2_1.bpl.bpl.txt,NOK,NOK,745,54,1744.5762739999998,1168.917706,splitOnDemand,49.24714246735859,0,0
mp_irqlkeapclte2_0.bpl.bpl.txt,OK,OK,369,98,700.401612,668.816488,splitOnDemand,4.722539675188144,0,0
avc_pagedcode_0.bpl.bpl.txt,OK,OK,243,150,344.221757,416.87982900000003,UW,21.10792549350679,0,0
driver_irqliopassive1_1.bpl.bpl.txt,OK,OK,20,19,12.915673000000002,14.024535,UW,8.585398530916649,0,0
sys_removelockreleasedevicecontrol_4.bpl.bpl.txt,OK,OK,11,11,6.919760999999999,7.189218,UW,3.8940217732953633,0,0
mouser_multremovelock_1.bpl.bpl.txt,NOK,NOK,28,28,7.507364000000001,8.625612,UW,14.895348087557755,0,0
driver_irqlioapclte_2.bpl.bpl.txt,OK,OK,22,21,14.249203,13.900731,splitOnDemand,2.5068609701173212,0,0
serial_irqlexallocatepool_2.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1171,58,3597.887277,3597.529951,TIMED-OUT,TIMED-OUT,0,0
usbccgp_ioreuseirp_0.bpl.bpl.txt,NOK,NOK,114,11,158.69964,50.551652,splitOnDemand,213.93561579352541,0,0
sbp2port_spinlocksafe_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1799,37,3595.48516,3597.633294,TIMED-OUT,TIMED-OUT,0,0
serial_irqlkesetevent_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,994,55,3597.81249,3597.818044,TIMED-OUT,TIMED-OUT,0,0
