Name,OR_OutCome,AlphaDecay_Outcome,OR_TotalSplits,AlphaDecay_TotalSplits,OR_RunTime,AlphaDecay_RunTime,Who Performed Better,By How Much Percentage,AlphaDecay TimedOut but not OR,OR TimedOut but not AlphaDecay
hw_irqlkereleasespinlock_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,2011,2215,3597.249444,3597.673211,TIMED-OUT,TIMED-OUT,0,0
serial_pagedcode_2.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,171,221,3597.921214,3598.024947,TIMED-OUT,TIMED-OUT,0,0
serial_pagedcode_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,166,170,3597.78651,3597.857923,TIMED-OUT,TIMED-OUT,0,0
mouser_ioallocateirpsignaleventincompletion_0.bpl.bpl.txt,OK,OK,154,84,292.843574,210.20519299999998,AlphaDecay,39.313196701091975,0,0
1394vdev_markirppending_0.bpl.bpl.txt,OK,OK,170,122,221.930118,377.951959,OR,70.30223856322196,0,0
mouser_multremovelock_0.bpl.bpl.txt,NOK,NOK,31,28,11.437254,9.209572,AlphaDecay,24.188767947088095,0,0
sbp2port_markdevicepower_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1264,1100,3598.454845,3598.428953,TIMED-OUT,TIMED-OUT,0,0
61883_ioallocateirpsignaleventincompletion_1.bpl.bpl.txt,NOK,NOK,21,21,14.660226000000002,14.467801999999999,AlphaDecay,1.3300154370373787,0,0
serial_markingqueuedirps_1.bpl.bpl.txt,OK,TIMEDOUT,480,1575,1226.460756,3597.845889,OR,TIMED-OUT,1,0
sbp2port_irqlreturn_0.bpl.bpl.txt,NOK,NOK,30,26,9.312313,8.303681000000001,AlphaDecay,12.14680573591397,0,0
