Name,OR_Outcome,OR_TotalSplits,OR_Runtime,Who_Performed_Better
kbdclass_powerdownallocate_1.bpl.bpl.txt,OK,849,557.902393,OR
mouclass_multremovelock_1.bpl.bpl.txt,NOK,161,49.019391999999996,OR
61883_ioreuseirp_0.bpl.bpl.txt,NOK,91,15.309385,OR
mouser_ioallocateirpsignaleventincompletion_0.bpl.bpl.txt,OK,333,105.520217,OR
61883_ioallocateirpsignaleventincompletiontimeout_0.bpl.bpl.txt,NOK,109,14.644477000000002,OR
usbccgp_ioreuseirp_0.bpl.bpl.txt,NOK,121,15.874573000000002,OR
hw_irqlkesetevent_0.bpl.bpl.txt,0,0,0.0,OR
sys_pendedcompletedrequest_0.bpl.bpl.txt,NOK,134,21.806089999999998,OR
hw_irqliopassive2_0.bpl.bpl.txt,OK,1718,1226.5936379999998,OR
mouser_removelockmnsurpriseremove_1.bpl.bpl.txt,0,0,0.0,OR
driver_irqlapclte_0.bpl.bpl.txt,OK,1,2.28573,OR
mouser_ioallocateirpsignaleventincompletiontimeout_1.bpl.bpl.txt,OK,501,145.68708099999998,OR
mouser_removelock_0.bpl.bpl.txt,NOK,132,15.734765000000001,OR
ppa3x_removelock_0.bpl.bpl.txt,0,0,0.0,OR
avc_pagedcode_0.bpl.bpl.txt,OK,291,66.633966,OR
daytona_completerequeststatuscheck_0.bpl.bpl.txt,OK,341,143.691531,OR
daytona_completerequeststatuscheck_1.bpl.bpl.txt,OK,334,146.680112,OR
Imapi_markirppending_0.bpl.bpl.txt,0,0,0.0,OR
sbp2port_removelockrelease2_0.bpl.bpl.txt,NOK,67,7.416591,OR
1394diag_completerequest_0.bpl.bpl.txt,NOK,87,11.557999,OR
sbp2port_irqlkeraiselower2_1.bpl.bpl.txt,0,0,0.0,OR
crcfilter_irqlkedispatchlte_0.bpl.bpl.txt,0,0,0.0,OR
serenum_completerequest_2.bpl.bpl.txt,0,0,0.0,OR
hw_irqlkedispatchlte_0.bpl.bpl.txt,0,0,0.0,OR
sbp2port_ioallocateirpsignaleventincompletion_0.bpl.bpl.txt,0,0,0.0,OR
modem_ioallocateirpsignaleventincompletion_0.bpl.bpl.txt,NOK,119,15.68035,OR
filter_ioallocateirpsignaleventincompletion_0.bpl.bpl.txt,OK,889,554.929619,OR
usbccgp_completerequeststatuscheck_0.bpl.bpl.txt,NOK,101,10.772347,OR
mp_removecheck_0.bpl.bpl.txt,OK,12,14.786158999999998,OR
61883_markqueryrelations_1.bpl.bpl.txt,NOK,166,21.464454,OR
cyzport_irqldispatch_0.bpl.bpl.txt,NOK,35,37.342870000000005,OR
mouser_multremovelock_1.bpl.bpl.txt,NOK,98,8.168293,OR
driver_targetrelationneedsref_0.bpl.bpl.txt,0,0,0.0,OR
sbp2port_spinlocksafe_0.bpl.bpl.txt,NOK,108,7.824503999999999,OR
61883_ioallocateforward_0.bpl.bpl.txt,0,0,0.0,OR
serial_zwregistryopen_1.bpl.bpl.txt,OK,275,871.803527,OR
sbp2port_irqlkedispatchlte_0.bpl.bpl.txt,0,0,0.0,OR
cyzport_irqlkereleasespinlock_0.bpl.bpl.txt,NOK,269,69.696994,OR
driver_irqlobpassive_0.bpl.bpl.txt,OK,1,1.4392219999999996,OR
serial_irqlzwpassive_1.bpl.bpl.txt,0,0,0.0,OR
61883_ioallocateirpsignaleventincompletiontimeout_1.bpl.bpl.txt,NOK,106,14.162451999999998,OR
sbp2port_deletedevice_0.bpl.bpl.txt,OK,326,116.723431,OR
mouser_removelockreleasepower_1.bpl.bpl.txt,NOK,818,1123.414025,OR
modem_pendedcompletedrequest2_0.bpl.bpl.txt,NOK,214,18.12861,OR
avc_irqlkesetevent_0.bpl.bpl.txt,0,0,0.0,OR
usbccgp_lowerdriverreturn_0.bpl.bpl.txt,NOK,98,11.447911000000001,OR
Imapi_removelockreleasedevicecontrol_0.bpl.bpl.txt,0,0,0.0,OR
usbccgp_pendedcompletedrequest3_0.bpl.bpl.txt,NOK,79,7.8272710000000005,OR
kbdclass_forwardedatbadirql_1.bpl.bpl.txt,OK,451,164.604988,OR
61883_removelock_0.bpl.bpl.txt,0,0,0.0,OR
sbp2port_irqlkesetevent_1.bpl.bpl.txt,0,0,0.0,OR
driver_irqlpspassive_0.bpl.bpl.txt,OK,1,2.214481,OR
sys_pendedcompletedrequest3_6.bpl.bpl.txt,OK,95,44.240782,OR
sbp2port_doublecompletion_0.bpl.bpl.txt,NOK,108,8.275584,OR
mouser_removelockreleasepnp_0.bpl.bpl.txt,NOK,169,16.382272999999998,OR
sbp2port_irqlreturn_1.bpl.bpl.txt,OK,222,90.39762900000001,OR
61883_irqlkedispatchlte_0.bpl.bpl.txt,0,0,0.0,OR
61883_removelockreleaseinternaldevicecontrol_0.bpl.bpl.txt,NOK,125,13.140975000000001,OR
mouser_removelockreleasepnp_1.bpl.bpl.txt,NOK,169,15.273541000000002,OR
driver_irqliopassive4_0.bpl.bpl.txt,OK,1,2.5309090000000003,OR
parport_markstartdevice_0.bpl.bpl.txt,NOK,19,19.074861000000002,OR
hw_irqlkereleasespinlock_0.bpl.bpl.txt,OK,3808,2731.942392,OR
mouser_forwardedatbadirqlallocate_0.bpl.bpl.txt,NOK,178,71.153282,OR
